# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
ans communications inc,89,82,130,16.92%,3.19,00:02:24,0.00%,0,$0.00
eads elbe flugzeugwerke gmbh,89,86,735,10.34%,2.94,00:02:35,0.00%,0,$0.00
viawest,89,89,154,11.69%,2.93,00:01:50,0.00%,0,$0.00
crane aerospace,87,89,128,7.03%,4.17,00:03:48,0.00%,0,$0.00
hilton hotels corporation,87,86,102,11.76%,3.76,00:02:28,0.00%,0,$0.00
johns hopkins university applied physics laboratory,87,87,185,9.73%,4.09,00:04:37,0.00%,0,$0.00
air new zealand,86,81,357,10.64%,3.77,00:02:33,0.00%,0,$0.00
brighthouse networks cfl division,85,84,224,13.39%,3.07,00:03:35,0.00%,0,$0.00
daimler benz aerospace airbus,85,81,154,16.88%,5.01,00:02:28,0.00%,0,$0.00
kapco,85,76,222,9.46%,3.50,00:03:02,0.00%,0,$0.00
tasc,85,80,153,11.11%,3.91,00:04:23,0.00%,0,$0.00
tpx communications,85,74,207,16.43%,2.74,00:02:51,0.00%,0,$0.00
align aerospace llc,84,80,207,13.04%,3.12,00:01:36,0.00%,0,$0.00
innet solutions sdn bhd,84,85,326,40.80%,2.02,00:03:29,0.00%,0,$0.00
lg cns,84,84,90,5.56%,5.03,00:06:17,0.00%,0,$0.00
partsbase.com,84,82,190,23.16%,2.71,00:02:38,0.00%,0,$0.00
wireless telecom group inc.,84,84,86,11.63%,3.02,00:00:56,0.00%,0,$0.00
telecom italia s.p.a. tin easy lite,82,81,98,30.61%,3.44,00:02:17,0.00%,0,$0.00
boranet,81,77,236,14.41%,5.28,00:09:29,0.00%,0,$0.00
chinanet shanghai province network,81,70,162,29.63%,2.91,00:03:00,0.00%,0,$0.00
israel ministry of defence,81,82,99,8.08%,3.76,00:04:17,0.00%,0,$0.00
los alamos national laboratory,81,78,141,12.06%,3.33,00:02:42,0.00%,0,$0.00
rogers communications canada inc.,81,76,134,16.42%,3.27,00:04:42,0.00%,0,$0.00
sonic.net inc.,81,77,141,19.15%,2.77,00:02:07,0.00%,0,$0.00
southern new england telephone company and snet america inc.,81,77,102,20.59%,3.28,00:02:17,0.00%,0,$0.00
worldpath internet services,81,77,136,9.56%,3.27,00:03:02,0.00%,0,$0.00
bell canada,80,74,124,20.16%,5.90,00:04:01,0.00%,0,$0.00
cyient limited,80,80,194,10.31%,3.60,00:03:36,0.00%,0,$0.00
kapco inc,80,73,231,15.15%,3.12,00:02:55,0.00%,0,$0.00
pratt & whitney canada corp.,80,70,123,13.82%,3.10,00:01:56,0.00%,0,$0.00
wind telecomunicazioni s.p.a,80,74,133,12.78%,3.60,00:03:42,0.00%,0,$0.00
rcs & rds business,78,74,133,24.81%,2.86,00:01:53,0.00%,0,$0.00
stentor national integrated communications network,78,76,196,7.14%,3.38,00:02:24,0.00%,0,$0.00
bt-central-plus,77,63,124,12.90%,3.98,00:05:22,0.00%,0,$0.00
ivent ministry of defence,77,81,290,38.28%,3.24,00:05:02,0.00%,0,$0.00
static ip,77,73,307,19.87%,3.68,00:03:53,0.00%,0,$0.00
airbus france,76,70,136,8.82%,4.26,00:02:55,0.00%,0,$0.00
macdonald dettwiler and associates,76,74,209,21.05%,2.97,00:02:34,0.00%,0,$0.00
skyriver communications inc.,76,76,106,16.98%,2.98,00:02:34,0.00%,0,$0.00
broadband multiplay project o/o dgm bb noc bsnl bangalore,74,65,142,47.18%,7.71,00:05:23,0.00%,0,$0.00
cobham plc,74,73,249,6.43%,2.86,00:01:43,0.00%,0,$0.00
cyberia is an internet service provider in sa serving,74,72,329,35.56%,2.16,00:02:31,0.00%,0,$0.00
databyte hosting customers,74,76,114,30.70%,3.11,00:08:34,0.00%,0,$0.00
fokker aerostructures bv,74,68,168,14.88%,5.07,00:05:59,0.00%,0,$0.00
nato support agency,74,73,145,13.79%,3.55,00:02:29,0.00%,0,$0.00
messagelabs sydney,73,69,301,12.96%,4.60,00:08:52,0.00%,0,$0.00
newark corporation,73,70,467,11.13%,3.16,00:02:41,0.00%,0,$0.00
science,73,72,123,14.63%,2.89,00:02:09,0.00%,0,$0.00
tdg fuer sell gmbh,73,70,147,20.41%,9.72,00:09:06,0.00%,0,$0.00
voxility.net,73,73,73,100.00%,1.00,00:00:00,0.00%,0,$0.00
alitalia - societ aerea italiana s.p.a.,70,70,628,10.83%,3.48,00:03:28,0.00%,0,$0.00
at&t worldnet services,70,68,125,7.20%,4.18,00:06:33,0.00%,0,$0.00
avea iletisim hizmetleri a.s.,70,63,149,36.91%,3.34,00:03:34,0.00%,0,$0.00
dhl information services (europe) s.r.o,70,68,193,11.92%,2.76,00:02:04,0.00%,0,$0.00
rheinmetall canada inc,70,69,188,17.55%,3.55,00:02:46,0.00%,0,$0.00
ripe ncc,70,63,159,16.98%,2.86,00:03:33,0.00%,0,$0.00
turk telekom ttnet national backbone,70,68,94,19.15%,3.43,00:02:00,0.00%,0,$0.00
midcontinent communications,69,65,181,14.36%,3.18,00:03:51,0.00%,0,$0.00
sci technology inc.,69,64,171,5.85%,5.01,00:07:55,0.00%,0,$0.00
tianjin guosheng board of trade,69,69,278,23.38%,2.82,00:08:26,0.00%,0,$0.00
013 netvision,68,63,89,7.87%,3.76,00:03:58,0.00%,0,$0.00
allianz of america,68,68,150,8.67%,3.68,00:03:45,0.00%,0,$0.00
bt-adsl,68,67,104,13.46%,3.06,00:02:38,0.00%,0,$0.00
hibernia networks (netherlands) bv,68,68,68,64.71%,1.37,00:00:03,0.00%,0,$0.00
inpl s ip pool,68,65,307,10.75%,3.72,00:05:06,0.00%,0,$0.00
knolls atomic power lab,68,68,70,10.00%,3.43,00:03:42,0.00%,0,$0.00
rogers cable communications inc.,68,65,174,14.37%,3.30,00:03:15,0.00%,0,$0.00
saudi telecom company jsc,68,64,129,20.93%,4.46,00:07:02,0.00%,0,$0.00
this space is statically assigned,68,69,142,9.86%,4.23,00:05:32,0.00%,0,$0.00
adsl,67,69,188,15.43%,2.93,00:02:01,0.00%,0,$0.00
bharti airtel limited,67,48,132,10.61%,7.01,00:07:12,0.00%,0,$0.00
ihs energy group,67,64,134,19.40%,3.79,00:03:00,0.00%,0,$0.00
ion corporation,67,67,142,23.24%,2.98,00:02:12,0.00%,0,$0.00
ip matrix s.a. de c.v.,67,68,137,22.63%,2.98,00:02:09,0.00%,0,$0.00
lockheed martin australia pty limited,67,67,196,15.82%,4.58,00:05:29,0.00%,0,$0.00
alaska communications systems group inc.,65,65,98,23.47%,4.37,00:05:13,0.00%,0,$0.00
batelco adsl service,65,61,498,12.25%,3.17,00:05:23,0.00%,0,$0.00
heroux inc,65,65,329,4.26%,5.48,00:05:43,0.00%,0,$0.00
national nuclear security administration kansas city plant,65,67,166,15.06%,5.88,00:13:55,0.00%,0,$0.00
raytheon australia,65,65,95,7.37%,5.81,00:06:34,0.00%,0,$0.00
sprint communications inc.,65,60,74,40.54%,2.43,00:00:59,0.00%,0,$0.00
aerojet propulsion div.,64,50,140,17.86%,3.10,00:03:05,0.00%,0,$0.00
hanaro telecom,64,61,142,21.13%,4.91,00:07:04,0.00%,0,$0.00
ipg,64,63,243,19.75%,5.10,00:15:25,0.00%,0,$0.00
megapath corporation,64,61,85,14.12%,2.99,00:01:52,0.00%,0,$0.00
tam linhas aereas s/a,64,65,166,27.71%,3.08,00:04:59,0.00%,0,$0.00
eskisehir bilisim iletisim san. ve tic. a.s.,63,63,189,13.23%,3.08,00:04:37,0.00%,0,$0.00
hawaiian telcom services company inc.,63,60,64,12.50%,2.97,00:01:00,0.00%,0,$0.00
huntel.net,63,61,94,8.51%,2.81,00:05:22,0.00%,0,$0.00
hydro geraetebau hebewerkzeuge,63,64,378,14.02%,3.93,00:03:51,0.00%,0,$0.00
kapco co,63,59,384,14.32%,3.23,00:02:40,0.00%,0,$0.00
optus internet pty ltd,63,59,99,14.14%,12.62,00:11:56,0.00%,0,$0.00
tt adsl-ttnet_static_ulus,63,67,423,28.13%,4.23,00:15:38,0.00%,0,$0.00
creative thought inc.,61,60,175,14.29%,3.38,00:03:38,0.00%,0,$0.00
flightsafety international,61,61,94,4.26%,4.19,00:04:48,0.00%,0,$0.00
hanaro telecom inc.,61,55,108,25.00%,4.61,00:05:49,0.00%,0,$0.00
hewlett-packard company,61,61,78,29.49%,3.46,00:03:04,0.00%,0,$0.00
hunter manufacturing company,61,55,157,24.20%,2.71,00:02:03,0.00%,0,$0.00
nammo talley defense system,61,61,89,5.62%,3.75,00:02:32,0.00%,0,$0.00
north state telephone co.,61,61,201,16.42%,3.15,00:03:27,0.00%,0,$0.00
space systems/loral inc.,61,63,99,14.14%,3.59,00:02:35,0.00%,0,$0.00
agusta s.p.a.,60,63,121,14.88%,2.83,00:02:29,0.00%,0,$0.00
customer lan,60,48,112,15.18%,3.21,00:02:34,0.00%,0,$0.00
transportes aereos portugueses sa,60,60,103,7.77%,2.52,00:01:08,0.00%,0,$0.00
acc-sts aviation group,59,51,"1,952",56.35%,1.74,00:03:04,0.00%,0,$0.00
at&t ams gidc external range,59,60,76,22.37%,2.49,00:01:21,0.00%,0,$0.00
icelandair ehf,59,53,412,21.84%,2.38,00:02:07,0.00%,0,$0.00
network of northrop grumman corporation,59,60,217,13.82%,3.59,00:05:58,0.00%,0,$0.00
nordam,59,57,65,6.15%,3.83,00:03:13,0.00%,0,$0.00
partsbase.com inc,59,56,138,22.46%,3.56,00:06:27,0.00%,0,$0.00
vodafone gmbh,59,55,102,32.35%,2.76,00:03:14,0.00%,0,$0.00
wideopenwest ohio,59,59,78,15.38%,7.51,00:05:43,0.00%,0,$0.00
adsl endpoints nat conections only,57,53,86,11.63%,7.07,00:06:51,0.00%,0,$0.00
adsl fastlinkdata jordan,57,48,267,14.98%,3.03,00:02:55,0.00%,0,$0.00
bae systems australia,57,56,87,8.05%,5.06,00:06:13,0.00%,0,$0.00
bell canada - nhs,57,46,206,10.68%,5.89,00:09:37,0.00%,0,$0.00
customer network,57,56,87,20.69%,4.98,00:02:45,0.00%,0,$0.00
dial-up and adsl pool,57,50,125,17.60%,6.17,00:14:00,0.00%,0,$0.00
emerson electric co.,57,56,68,17.65%,3.00,00:02:45,0.00%,0,$0.00
engility corporation,57,57,93,9.68%,4.15,00:05:19,0.00%,0,$0.00
infinite communication llc,57,55,134,11.94%,4.57,00:03:03,0.00%,0,$0.00
kearfott corporation,57,59,91,0.00%,6.38,00:06:09,0.00%,0,$0.00
mbda italia public subnet,57,56,114,14.04%,3.84,00:02:30,0.00%,0,$0.00
mts inc.,57,55,239,30.54%,2.67,00:01:55,0.00%,0,$0.00
sac affaires vl,57,57,84,14.29%,3.61,00:02:02,0.00%,0,$0.00
singtel mobile,57,55,93,49.46%,2.37,00:03:26,0.00%,0,$0.00
tt adsl-ttnet_dynamic_ulus,57,34,93,21.51%,2.67,00:01:58,0.00%,0,$0.00
virtela technology services incorporated,57,53,119,10.08%,3.43,00:03:56,0.00%,0,$0.00
wave broadband,57,55,84,15.48%,2.75,00:01:13,0.00%,0,$0.00
zayo bandwidth,57,59,69,14.49%,3.35,00:01:34,0.00%,0,$0.00
accenture llp,56,57,171,16.96%,10.37,00:14:29,0.00%,0,$0.00
asg gmbh,56,56,518,16.80%,3.83,00:06:27,0.00%,0,$0.00
buckeye cablevision inc.,56,55,77,12.99%,2.96,00:03:03,0.00%,0,$0.00
cellucar subscribers for ggsn,56,59,"1,444",56.02%,1.74,00:03:29,0.00%,0,$0.00
curtiss wright - mtsa,56,48,102,22.55%,3.78,00:03:54,0.00%,0,$0.00
metrocast cablevision,56,55,81,19.75%,3.06,00:03:21,0.00%,0,$0.00
server farm genova 1,56,56,76,15.79%,5.51,00:06:05,0.00%,0,$0.00
trek techs,56,56,56,69.64%,1.38,00:00:03,0.00%,0,$0.00
bt-adsl-lns,55,47,215,4.65%,3.57,00:02:51,0.00%,0,$0.00
diehl bgt defence gmbh & co. kg,55,51,116,22.41%,3.87,00:03:05,0.00%,0,$0.00
mcafee inc.,55,53,63,14.29%,2.94,00:01:20,0.00%,0,$0.00
precision castparts corp,55,52,65,10.77%,4.11,00:03:10,0.00%,0,$0.00
software technology parks of india,55,55,254,20.47%,4.45,00:09:03,0.00%,0,$0.00
terago networks inc.,55,50,151,14.57%,2.89,00:02:17,0.00%,0,$0.00
vodafone net iletisim hizmetleri anonim sirketi,55,43,100,16.00%,3.22,00:02:26,0.00%,0,$0.00
wt business customer - internet upstream static pppoe ip,55,59,70,17.14%,5.53,00:04:32,0.00%,0,$0.00
bouygues telecom division mobile,53,48,103,29.13%,3.00,00:03:57,0.00%,0,$0.00
intracom sa defense electronics,53,56,133,10.53%,4.74,00:03:29,0.00%,0,$0.00
leonardo s.p.a. server farm genova 1,53,53,65,1.54%,4.37,00:05:00,0.00%,0,$0.00
rock hill telephone company,53,51,283,24.73%,4.28,00:06:26,0.00%,0,$0.00
ruag services ag,53,46,73,21.92%,3.68,00:05:30,0.00%,0,$0.00
saudi arabian airlines,53,53,620,31.94%,2.50,00:04:07,0.00%,0,$0.00
teklinks inc.,53,52,72,9.72%,3.03,00:01:30,0.00%,0,$0.00
adsl-tt net_static pool,52,51,69,28.99%,3.55,00:02:54,0.00%,0,$0.00
aluminiere lauralco,52,55,68,17.65%,3.82,00:02:46,0.00%,0,$0.00
broadbandone inc.,52,52,120,18.33%,3.12,00:02:46,0.00%,0,$0.00
customerlan,52,47,74,35.14%,2.26,00:02:15,0.00%,0,$0.00
gamma telecom limited,52,56,164,9.76%,3.28,00:02:08,0.00%,0,$0.00
hong kong aircraft engineering co ltd,52,47,172,10.47%,3.53,00:06:53,0.00%,0,$0.00
hong kong telecommunications (hkt) limited mass internet,52,52,76,28.95%,2.47,00:00:45,0.00%,0,$0.00
mobile telecommunications company,52,47,103,22.33%,3.47,00:05:00,0.00%,0,$0.00
puerto rico telephone company,52,51,57,43.86%,2.09,00:00:40,0.00%,0,$0.00
cablemas telecomunicaciones sa de cv,51,48,73,23.29%,2.77,00:00:54,0.00%,0,$0.00
ftip003103876 messier-dowty limited,51,51,55,12.73%,4.07,00:02:34,0.00%,0,$0.00
havelsan hava elektronik sanayi ve ticaret a.s.,51,50,93,9.68%,4.29,00:05:57,0.00%,0,$0.00
heico aerospace corporation,51,51,67,14.93%,3.15,00:03:49,0.00%,0,$0.00
telefonica data s.a.,51,50,227,18.94%,3.83,00:06:41,0.00%,0,$0.00
zito networks,51,48,125,17.60%,2.73,00:02:33,0.00%,0,$0.00
applied aerospace structures,50,48,147,2.72%,3.72,00:05:58,0.00%,0,$0.00
fokker services bv,50,53,77,3.90%,3.26,00:01:06,0.00%,0,$0.00
forsvarets logistikkorganisasjon - ikt,50,52,112,17.86%,3.45,00:04:09,0.00%,0,$0.00
imported inetnum object for jnic,50,52,145,8.97%,3.72,00:02:37,0.00%,0,$0.00
indrasistemas_net,50,50,322,51.55%,3.62,00:06:12,0.00%,0,$0.00
lourdes ind inc,50,48,134,3.73%,3.01,00:02:06,0.00%,0,$0.00
messagelabs ltd,50,46,81,16.05%,3.51,00:04:28,0.00%,0,$0.00
primus international inc.,50,50,67,11.94%,4.03,00:02:56,0.00%,0,$0.00
swisscom (schweiz) ag,50,46,114,7.02%,3.46,00:02:14,0.00%,0,$0.00
airinmar ltd,48,48,304,12.17%,9.24,00:11:54,0.00%,0,$0.00
alestra s. de r.l. de c.v.,48,44,86,23.26%,3.94,00:02:41,0.00%,0,$0.00
avianca,48,40,428,18.22%,2.55,00:03:03,0.00%,0,$0.00
avio-diepen bv,48,51,130,12.31%,3.46,00:02:49,0.00%,0,$0.00
benchmark electronics,48,51,194,13.40%,6.63,00:08:56,0.00%,0,$0.00
daisy communications ltd,48,47,59,16.95%,3.22,00:01:54,0.00%,0,$0.00
gila river telecommunications inc.,48,50,68,11.76%,3.21,00:01:21,0.00%,0,$0.00
national bfp inc,48,48,86,15.12%,3.62,00:02:19,0.00%,0,$0.00
proxad / free sas,48,38,63,25.40%,3.02,00:04:15,0.00%,0,$0.00
qwest communications,48,46,67,11.94%,3.25,00:02:52,0.00%,0,$0.00
rogers telecom inc.,48,43,244,11.89%,3.39,00:03:21,0.00%,0,$0.00
sorin capital managment llc,48,46,102,13.73%,2.78,00:02:04,0.00%,0,$0.00
taca,48,43,107,23.36%,4.04,00:05:40,0.00%,0,$0.00
viking air limited,48,42,60,13.33%,4.45,00:11:31,0.00%,0,$0.00
acc-barfield inc,47,46,256,15.23%,3.05,00:02:35,0.00%,0,$0.00
atm reverse/additional,47,37,95,21.05%,30.38,00:13:36,0.00%,0,$0.00
beam telecom pvt ltd,47,39,69,24.64%,2.97,00:02:17,0.00%,0,$0.00
british airways plc,47,44,90,8.89%,3.41,00:03:04,0.00%,0,$0.00
channelpower bv,47,40,141,7.09%,3.53,00:02:56,0.00%,0,$0.00
gencorp aerojet (headquarters),47,42,81,9.88%,3.69,00:03:57,0.00%,0,$0.00
green house data inc.,47,44,102,12.75%,3.11,00:01:59,0.00%,0,$0.00
haeco americas-high point nc,47,47,80,8.75%,3.71,00:04:56,0.00%,0,$0.00
klx aerospace solutions de holding gmbh,47,44,85,21.18%,2.68,00:01:21,0.00%,0,$0.00
ntt america inc.,47,46,68,11.76%,4.18,00:04:00,0.00%,0,$0.00
paris,47,48,76,17.11%,5.36,00:03:16,0.00%,0,$0.00
pt telkom indonesia,47,40,160,60.62%,1.59,00:01:28,0.00%,0,$0.00
rcom-static-dia,47,47,125,16.80%,3.94,00:03:49,0.00%,0,$0.00
safran landing systems canada inc,47,47,68,19.12%,3.40,00:02:43,0.00%,0,$0.00
topcast aviation supplies co ltd,47,40,911,32.27%,2.13,00:02:46,0.00%,0,$0.00
w.w. grainger inc.,47,44,48,27.08%,2.92,00:02:28,0.00%,0,$0.00
1st choice aerospace,46,44,108,18.52%,3.06,00:06:55,0.00%,0,$0.00
air cruises,46,47,80,11.25%,3.42,00:02:08,0.00%,0,$0.00
california internet l.p.,46,46,86,9.30%,3.28,00:03:39,0.00%,0,$0.00
continental data graphics,46,44,65,12.31%,3.45,00:02:19,0.00%,0,$0.00
dacom,46,48,95,26.32%,5.76,00:10:37,0.00%,0,$0.00
datacon,46,46,91,17.58%,3.97,00:04:05,0.00%,0,$0.00
digitalocean llc,46,44,46,82.61%,1.30,00:00:20,0.00%,0,$0.00
duotek services,46,46,52,13.46%,2.48,00:01:17,0.00%,0,$0.00
gs engineering inc,46,44,133,12.78%,3.45,00:04:01,0.00%,0,$0.00
ip range assigned to vf-it customers,46,44,56,35.71%,3.43,00:02:12,0.00%,0,$0.00
kii telecommunications inc,46,46,74,16.22%,4.46,00:05:46,0.00%,0,$0.00
kt corporation jeongja-dong bundang-gu seongnam-si gyeonggi-do,46,40,73,17.81%,3.58,00:01:50,0.00%,0,$0.00
mantech international corporation,46,47,69,13.04%,4.54,00:03:57,0.00%,0,$0.00
networks on-line,46,43,59,11.86%,4.12,00:03:24,0.00%,0,$0.00
sdt uzay sav.tek.ure.dans.tic.a.s,46,46,378,19.58%,2.97,00:02:50,0.00%,0,$0.00
southern light llc,46,43,107,13.08%,2.87,00:02:30,0.00%,0,$0.00
southwest airlines,46,44,69,14.49%,8.49,00:07:52,0.00%,0,$0.00
tt adsl-tt net_dynamic_ulus,46,33,257,22.96%,4.34,00:07:37,0.00%,0,$0.00
tt adsl-ttnet_dynamic_gay,46,37,56,17.86%,3.04,00:03:23,0.00%,0,$0.00
wideopenwest michigan,46,44,51,15.69%,2.53,00:02:06,0.00%,0,$0.00
yellow fiber networks,46,43,184,7.61%,4.33,00:04:37,0.00%,0,$0.00
ziggo consumers,46,44,52,23.08%,3.54,00:02:08,0.00%,0,$0.00
amphenol borisch technologies inc,44,31,322,11.80%,2.69,00:02:24,0.00%,0,$0.00
avea iletisim hizmetleri a.s,44,34,69,36.23%,3.61,00:04:15,0.00%,0,$0.00
first response group,44,44,78,12.82%,3.00,00:01:18,0.00%,0,$0.00
global airtech,44,40,"1,067",28.49%,3.09,00:07:26,0.00%,0,$0.00
h.a.l. overhaul division,44,48,51,7.84%,29.29,00:18:22,0.00%,0,$0.00
m-net telekommunikations gmbh,44,44,89,13.48%,3.55,00:02:10,0.00%,0,$0.00
marshall aerospace ltd,44,51,160,5.62%,4.34,00:07:04,0.00%,0,$0.00
messagelabs inc.,44,44,67,13.43%,4.03,00:02:40,0.00%,0,$0.00
noi. net internet services,44,44,78,5.13%,3.40,00:03:01,0.00%,0,$0.00
ppg industries inc.,44,43,55,12.73%,3.27,00:02:36,0.00%,0,$0.00
spirit telecom,44,43,60,15.00%,3.23,00:03:01,0.00%,0,$0.00
unwired broadband inc.,44,43,69,17.39%,2.78,00:01:38,0.00%,0,$0.00
chemring north american administration inc,43,40,91,7.69%,3.86,00:04:07,0.00%,0,$0.00
china mobile communications corporation,43,27,76,38.16%,2.86,00:05:48,0.00%,0,$0.00
cogeco cable inc.,43,39,67,13.43%,3.40,00:02:41,0.00%,0,$0.00
dacom corp.,43,44,91,21.98%,4.51,00:04:30,0.00%,0,$0.00
drs technologies inc,43,44,70,5.71%,4.39,00:03:00,0.00%,0,$0.00
early registration addresses,43,43,43,100.00%,1.00,00:00:00,0.00%,0,$0.00
fedex,43,39,115,6.96%,3.76,00:05:15,0.00%,0,$0.00
hunter communications,43,43,77,3.90%,3.52,00:02:44,0.00%,0,$0.00
massachusetts institute of technology,43,43,46,17.39%,3.04,00:02:28,0.00%,0,$0.00
usda office of operations,43,43,43,30.23%,2.95,00:01:58,0.00%,0,$0.00
vocus pty ltd,43,43,69,11.59%,4.22,00:05:45,0.00%,0,$0.00
wiremaster inc.,43,29,318,11.95%,2.61,00:01:12,0.00%,0,$0.00
acc-lsi inc,42,38,125,11.20%,5.34,00:05:37,0.00%,0,$0.00
beluespace,42,39,160,12.50%,5.86,00:07:50,0.00%,0,$0.00
bezeq international-ltd,42,40,72,16.67%,3.06,00:01:43,0.00%,0,$0.00
celtech corp- main office,42,42,95,26.32%,2.54,00:02:16,0.00%,0,$0.00
dassault falcon jet corp,42,40,142,3.52%,4.40,00:02:44,0.00%,0,$0.00
dassault-aviation,42,42,106,18.87%,3.37,00:03:20,0.00%,0,$0.00
federal express corp.,42,33,76,11.84%,3.16,00:02:06,0.00%,0,$0.00
issel nord s.r.l.,42,43,154,11.04%,4.56,00:06:38,0.00%,0,$0.00
ntt pc communications inc.,42,38,474,8.44%,4.54,00:06:15,0.00%,0,$0.00
ogulbey koyu 8.km 06830 golbasi ankara,42,37,74,12.16%,3.08,00:01:13,0.00%,0,$0.00
orange mobile,42,39,56,25.00%,3.00,00:02:01,0.00%,0,$0.00
pacnet services (japan) corp.,42,44,175,24.00%,2.43,00:02:00,0.00%,0,$0.00
pldt_gpkc10ki01_dhcp,42,40,218,6.42%,4.40,00:07:28,0.00%,0,$0.00
road runner holdco llc,42,40,44,18.18%,3.59,00:02:36,0.00%,0,$0.00
sada-prtd pool-in7ras9a,42,40,104,15.38%,4.66,00:11:26,0.00%,0,$0.00
singapore telecom mobile pte ltd,42,34,51,43.14%,2.51,00:02:12,0.00%,0,$0.00
swiss federal government,42,43,64,12.50%,3.80,00:05:58,0.00%,0,$0.00
telekommunikation lindau (b) gmbh,42,39,67,14.93%,3.70,00:05:50,0.00%,0,$0.00
terma a/s,42,44,67,10.45%,3.66,00:03:30,0.00%,0,$0.00
tmnet,42,37,52,38.46%,4.10,00:03:23,0.00%,0,$0.00
tt adsl-ttnet_dynamic_aci,42,23,94,13.83%,2.83,00:03:18,0.00%,0,$0.00
vacco industries inc.,42,42,111,15.32%,4.05,00:06:10,0.00%,0,$0.00
acc-vital link inc,40,38,68,7.35%,3.22,00:02:22,0.00%,0,$0.00
aero precision,40,40,55,14.55%,2.71,00:02:34,0.00%,0,$0.00
applied industrialtechnologies,40,39,46,21.74%,3.35,00:01:18,0.00%,0,$0.00
bba aviation usa inc.,40,44,137,7.30%,3.15,00:03:06,0.00%,0,$0.00
block line systems llc,40,35,70,12.86%,2.56,00:01:26,0.00%,0,$0.00
business static allocation,40,43,70,14.29%,3.74,00:03:38,0.00%,0,$0.00
cary clayton,40,40,43,9.30%,7.09,00:05:07,0.00%,0,$0.00
columbia power and water systems,40,34,415,9.64%,2.78,00:01:23,0.00%,0,$0.00
cpi aerostructures,40,43,128,10.16%,5.68,00:05:59,0.00%,0,$0.00
dhi group inc.,40,38,119,5.88%,41.61,00:21:47,0.00%,0,$0.00
eads deutschland gmbh,40,38,50,10.00%,3.52,00:04:07,0.00%,0,$0.00
edac technologies,40,38,78,16.67%,2.59,00:02:05,0.00%,0,$0.00
epm telecomunicaciones s.a. e.s.p.,40,33,65,26.15%,2.68,00:03:26,0.00%,0,$0.00
ga telesis llc,40,42,144,20.83%,2.44,00:02:09,0.00%,0,$0.00
home telephone company inc.,40,38,56,16.07%,2.77,00:01:07,0.00%,0,$0.00
infrastructure for fastwebs main location,40,38,44,22.73%,9.61,00:07:14,0.00%,0,$0.00
lgm group,40,40,159,26.42%,6.89,00:06:45,0.00%,0,$0.00
new wave communications,40,35,51,19.61%,3.25,00:03:12,0.00%,0,$0.00
qinetiq north america operations llc,40,39,52,19.23%,3.63,00:01:22,0.00%,0,$0.00
smbc aviation capital ltd.,40,40,48,10.42%,5.38,00:11:26,0.00%,0,$0.00
true internet co. ltd.,40,38,51,41.18%,2.10,00:00:59,0.00%,0,$0.00
adept fasteners inc.,39,42,117,14.53%,6.41,00:08:59,0.00%,0,$0.00
arcor ag,39,35,55,21.82%,3.75,00:02:19,0.00%,0,$0.00
emirates group,39,33,68,19.12%,2.97,00:01:44,0.00%,0,$0.00
jd irving limited,39,39,120,10.00%,4.32,00:06:01,0.00%,0,$0.00
kratos defense security soluti,39,31,55,9.09%,3.36,00:03:16,0.00%,0,$0.00
lawrence livermore national laboratory,39,40,59,15.25%,3.32,00:01:47,0.00%,0,$0.00
pt comunicacoes s.a.,39,38,57,28.07%,2.35,00:00:42,0.00%,0,$0.00
ripe network coordination center,39,30,107,25.23%,3.03,00:08:20,0.00%,0,$0.00
ruag deutschland gmbh,39,42,57,8.77%,3.21,00:01:09,0.00%,0,$0.00
skf dataservice ab,39,40,70,10.00%,6.47,00:03:50,0.00%,0,$0.00
swiss intl. air lines ldt.,39,39,60,21.67%,2.93,00:02:35,0.00%,0,$0.00
teksavvy solutions inc.,39,39,76,10.53%,3.67,00:02:50,0.00%,0,$0.00
the mitre corporation,39,39,56,25.00%,4.82,00:06:08,0.00%,0,$0.00
thomas cook uk limited,39,38,44,11.36%,3.00,00:03:12,0.00%,0,$0.00
usmc network operations center,39,39,74,13.51%,3.36,00:03:31,0.00%,0,$0.00
aeroflex incorporated,38,42,63,6.35%,3.73,00:02:39,0.00%,0,$0.00
ci - at&t managed firewall services nb2 sid-8939,38,38,65,4.62%,4.09,00:03:00,0.00%,0,$0.00
crane electronics group,38,38,59,20.34%,3.51,00:01:43,0.00%,0,$0.00
custom aircraft cabinets inc,38,38,44,6.82%,2.52,00:02:43,0.00%,0,$0.00
expereo usa inc.,38,33,138,5.07%,5.59,00:06:51,0.00%,0,$0.00
herley industries inc.,38,35,223,32.74%,3.38,00:05:12,0.00%,0,$0.00
